Iconuc,Tabarnuc,NucPlusUltra,Gazby,Pégaz,Samagaz,Omaïgaz,Gastafiore,Igaznodon,Coron,Mockingjay,Lantier,Tacotac,TicEtTac,Cogén,Hydro,STEP turbinage,Puissance résiduelle,STEP pompage,Conso,Conso nette,Puissance excès,Stock d'eau de notre modèle
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 543.0 ,0.0,3998, -0.0,9441,5443.0,0.0 ,64.1942619523811
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,348.0,4099, -0.0,9347,5248.0,0.0 ,64.19891076190491
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 121.0 ,0.0,4057, -0.0,9078,5021.0,0.0 ,64.24234528571444
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,38.0,3922, -0.0,8860,4938.0,0.0 ,64.27713695238111
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,9.0,3810, -0.0,8719,4909.0,0.0 ,64.32057147619064
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,499.0,3501, -0.0,8900,5399.0,0.0 ,64.36400600000016
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 288.25 ,405.75,3286, -0.0,8880,5594.0,0.0 ,64.40744052380968
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 508.0 ,0.0,2991, -0.0,8399,5408.0,0.0 ,64.43028576190493
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 135.0 ,-0.0,3062, -0.0,8097,5035.0,0.0 ,64.43743457142874
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 607.0 ,0.0,3016, -0.0,8523,5507.0,0.0 ,64.47122623809541
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 829.0 ,0.0,2823, -0.0,8552,5729.0,0.0 ,64.47130361904779
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 120.0 ,0.0,2852, -0.0,7872,5020.0,0.0 ,64.45552385714302
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 148.0 ,0.0,2440, -0.0,7488,5048.0,0.0 ,64.49038695238112
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 494.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2391, -0.0,7185,4794.0,0.0 ,64.52325004761921
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 548.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2385, -0.0,6843,4458.0,0.0 ,64.56668457142875
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 216.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2262, -0.0,6778,4516.0,0.0 ,64.61011909523828
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 457.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2322, -0.0,7079,4757.0,0.0 ,64.65355361904778
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 336.0 ,0.0,2340, -0.0,7576,5236.0,0.0 ,64.69698814285732
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 827.0 ,0.0,2516, -0.0,8243,5727.0,0.0 ,64.71642266666684
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1327.0 ,0.0,2671, -0.0,8898,6227.0,0.0 ,64.70078576190494
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1770.0 ,0.0,2677, -0.0,9347,6670.0,0.0 ,64.64943457142876
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1474.0 ,0.0,3216, -0.0,9590,6374.0,0.0 ,64.5664405238097
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1372.0 ,0.0,3520, -0.0,9792,6272.0,0.0 ,64.50458933333353
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1254.0 ,0.0,3722, -0.0,9876,6154.0,0.0 ,64.45002385714305
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1148.0 ,0.0,3693, -0.0,9741,6048.0,0.0 ,64.40388695238116
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 816.0 ,0.0,3963, -0.0,9679,5716.0,0.0 ,64.36532147619067
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 388.0 ,0.0,4134, -0.0,9422,5288.0,0.0 ,64.3504702857145
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 314.0 ,0.0,4004, -0.0,9218,5214.0,0.0 ,64.36619052380973
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 413.0 ,0.0,3761, -0.0,9074,5313.0,0.0 ,64.3871964761907
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 643.0 ,0.0,3637, -0.0,9180,5543.0,0.0 ,64.4011310000002
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1225.0 ,0.0,2940, -0.0,9065,6125.0,0.0 ,64.39863695238117
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 936.0 ,0.0,2716, -0.0,8552,5836.0,0.0 ,64.35457147619069
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1024.0 ,0.0,2380, -0.0,8304,5924.0,0.0 ,64.33114885714308
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1300.0 ,0.0,2504, -0.0,8704,6200.0,0.0 ,64.30144052380975
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 1294.0 ,0.0,2500, -0.0,8694,6194.0,0.0 ,64.25201790476211
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 418.0 ,0.0,2622, -0.0,7940,5318.0,0.0 ,64.20302385714307
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 371.0 ,0.0,2280, -0.0,7551,5271.0,0.0 ,64.21660123809546
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 245.0 ,0.0,2098, -0.0,7243,5145.0,0.0 ,64.23353576190497
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 62.0 ,0.0,1936, -0.0,6898,4962.0,0.0 ,64.25947028571451
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 88.0 ,-0.0,1841, -0.0,6829,4988.0,0.0 ,64.29847623809547
